Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2020-01-20,Inception,2010,https://boxd.it/X8S6p,4.5,Yes,,2020-01-19
2020-01-21,The Butcher,1970,https://boxd.it/XfKsL,3,,,2020-01-20
2020-01-23,Ashes and Diamonds,1958,https://boxd.it/XqgDV,4,,,2020-01-22
2020-01-27,Brawl in Cell Block 99,2017,https://boxd.it/XMPpt,4,,,2020-01-26
2020-01-28,Electra Glide in Blue,1973,https://boxd.it/XRh89,3,,,2020-01-27
2020-01-28,High Life,2018,https://boxd.it/XSYmv,2,,,2020-01-28
2020-01-30,Knife in the Water,1962,https://boxd.it/Y0vU5,4.5,,,2020-01-29
2020-02-03,The Souvenir,2019,https://boxd.it/YodnZ,3,,,2020-02-02
2020-02-04,I Knew Her Well,1965,https://boxd.it/YsPDT,5,,,2020-02-03
2020-02-06,Illumination,1973,https://boxd.it/YCZlb,4,,,2020-02-05
2020-02-11,Cría cuervos…,1976,https://boxd.it/Z4w7F,4,,,2020-02-10
2020-02-13,Man of Marble,1977,https://boxd.it/ZfKKt,3.5,,,2020-02-12
2020-02-20,The American Friend,1977,https://boxd.it/ZT8FZ,3.5,,,2020-02-17
2020-02-21,Shivers,1981,https://boxd.it/ZXrpz,4,,,2020-02-20
2020-02-27,Camera Buff,1979,https://boxd.it/10trfN,4.5,,,2020-02-26
2020-03-08,Waves,2019,https://boxd.it/11eDX7,5,Yes,,2020-03-07
2020-03-08,Ford v Ferrari,2019,https://boxd.it/11eFkL,4,,,2020-03-07
2020-03-11,High School,1968,https://boxd.it/11rQoZ,3,,,2020-03-10
2020-03-13,Birds of Passage,2018,https://boxd.it/11Ag93,4,,,2020-03-12
2020-03-13,Birds of Passage,2018,https://boxd.it/11Agnz,4,Yes,,2020-03-12
2020-03-15,Solaris,1972,https://boxd.it/11MuoP,5,,,2020-03-15
2020-03-16,Solaris,1972,https://boxd.it/11OJjJ,5,Yes,,2020-03-15
2020-03-16,Phantom Thread,2017,https://boxd.it/11Tjlf,4.5,,,2020-03-15
2020-03-17,The Seventh Seal,1957,https://boxd.it/11YQHt,3.5,,,2020-03-16
2020-03-21,9,2009,https://boxd.it/12j6EZ,1.5,,,2020-03-20
2020-03-22,The Platform,2019,https://boxd.it/12tYC9,3.5,,,2020-03-22
2020-03-25,Decalogue VI,1989,https://boxd.it/12O4gN,4,,,2020-03-24
2020-03-25,Bullet in the Head,1990,https://boxd.it/12PxPT,1.5,,,2020-03-25
2020-03-27,Ju Dou,1990,https://boxd.it/12ZtOR,4.5,,,2020-03-26
2020-03-28,The Art of Self-Defense,2019,https://boxd.it/134SEx,3.5,,,2020-03-27
2020-03-28,Portrait of a Lady on Fire,2019,https://boxd.it/139okH,5,,,2020-03-28
2020-03-30,The Square,2017,https://boxd.it/13nF5x,4.5,,,2020-03-29
2020-04-01,Next Floor,2008,https://boxd.it/13DDE3,,,,2020-03-31
2020-04-01,Memories of Underdevelopment,1968,https://boxd.it/13DZgn,4,,,2020-03-31
2020-04-01,Circle,2015,https://boxd.it/13FzxL,1,,,2020-04-01
2020-04-03,Dogs,1992,https://boxd.it/13SI6F,3,,,2020-04-02
2020-04-03,Minority Report,2002,https://boxd.it/13U9bT,3.5,,,2020-04-03
2020-04-05,Akira,1988,https://boxd.it/144eLx,4,,,2020-04-04
2020-04-06,Stalker,1979,https://boxd.it/14ifOP,5,,,2020-04-06
2020-04-07,Funny Games,1997,https://boxd.it/14pxyz,0.5,,,2020-04-07
2020-04-08,Touki Bouki,1973,https://boxd.it/14uVqT,2.5,,,2020-04-07
2020-04-09,Man on a Ledge,2012,https://boxd.it/14CXy7,1,,,2020-04-09
2020-04-11,Border,2018,https://boxd.it/14Oo7J,3.5,,,2020-04-10
2020-04-12,Parasite,2019,https://boxd.it/14WnXZ,4.5,Yes,,2020-04-11
2020-04-12,In Darkness,2011,https://boxd.it/14XrTf,3,,,2020-04-11
2020-04-13,The Nightingale,2018,https://boxd.it/155eS5,4.5,,,2020-04-12
2020-04-13,The Last Wave,1977,https://boxd.it/157wYJ,3,,,2020-04-12
2020-04-13,Chungking Express,1994,https://boxd.it/15bstZ,4.5,,,2020-04-13
2020-04-15,Decalogue VIII,1989,https://boxd.it/15rIb5,3,,,2020-04-15
2020-04-16,Ida,2013,https://boxd.it/15xuhl,4,,,2020-04-15
2020-04-16,House,1977,https://boxd.it/15yUXz,3,,,2020-04-16
2020-04-17,45 Years,2015,https://boxd.it/15G5yT,4.5,,,2020-04-17
2020-04-18,Melancholia,2011,https://boxd.it/15Nh0N,4,,,2020-04-18
2020-04-21,Force Majeure,2014,https://boxd.it/16czjD,4,,,2020-04-21
